log_Teff,LogL_lsun,Age_gyr,Step,Log_g,Mass_msun,feh,Mass_input,Metallicity_input,Z_used,Age_input
3.745801162112056,-0.14071934247084458,3.5,408.85540297373933,4.500236136631587,0.964,0.022925985599621872,0.964,0.0,0.022917651,3.5
3.7461118121643033,-0.13819336339507687,3.5,409.3478567827692,4.499410332936042,0.965,0.02292598526842042,0.965,0.0,0.022917651,3.5
3.7464225338302595,-0.13566247741849105,3.5,409.8468235772463,4.498579910073489,0.9660000000000001,0.022925985031587985,0.966,0.0,0.022917651,3.5
3.746733334991914,-0.1331273734073348,3.5,410.35206932375803,4.497745587576107,0.967,0.02292598482058838,0.967,0.0,0.022917651,3.5
3.747044218633937,-0.13058838396260772,3.5,410.8635121185491,4.496907709564416,0.9680000000000001,0.022925984602335452,0.968,0.0,0.022917651,3.5
3.7473549860035176,-0.12804359793406048,3.5,411.38217375709706,4.4960635624678575,0.969,0.02292598434561882,0.969,0.0,0.022917651,3.5
3.747665815518217,-0.12549471549988553,3.5,411.90727510329623,4.49521556692046,0.9700000000000002,0.022925984082080575,0.97,0.0,0.022917651,3.5
3.747976689143938,-0.12294128229921562,3.5,412.439107773995,4.494363199149496,0.9709999999999999,0.022925983793666106,0.971,0.0,0.022917651,3.5
3.7482875328624714,-0.12038210023523688,3.5,412.97835053563284,4.493504970850885,0.972,0.022925983437311916,0.972,0.0,0.022917651,3.5
3.748598440523362,-0.11781875869281991,3.5,413.52427734577026,4.492642839297446,0.9730000000000001,0.022925983080018995,0.973,0.0,0.022917651,3.5
3.7489086173019768,-0.11525017728576765,3.5,414.0778217764618,4.491772539780149,0.974,0.022925982724104527,0.974,0.0,0.022917651,3.5
3.749218262542048,-0.1126766148271934,3.5,414.63883435226523,4.490895129371726,0.975,0.022925982369196404,0.975,0.0,0.022917651,3.5
3.7495279224582165,-0.11009871038940582,3.5,415.20684000894073,4.4900134353984384,0.976,0.022925982013698734,0.976,0.0,0.022917651,3.5
3.749837748565399,-0.10751465500754756,3.5,415.7830031348009,4.489126261442569,0.9770000000000001,0.022925981651592545,0.977,0.0,0.022917651,3.5
3.750147587328883,-0.10492617445752918,3.5,416.3663648593956,4.488234713081545,0.978,0.022925981288710703,0.978,0.0,0.022917651,3.5
3.7504573452330834,-0.10233206588897162,3.5,416.95748685208605,4.487337214122813,0.979,0.022925980927354848,0.979,0.0,0.022917651,3.5
3.7507670166285028,-0.09973223240571663,3.5,417.55649373267033,4.486433645087371,0.9800000000000001,0.02292598056745151,0.98,0.0,0.022917651,3.5
3.75107669756518,-0.09712762691187689,3.5,418.1630859691125,4.48552534182381,0.981,0.022925980206446317,0.981,0.0,0.022917651,3.5
3.751386437120401,-0.09451595941642622,3.5,418.7782699152054,4.484610201180467,0.982,0.022925979841443504,0.982,0.0,0.022917651,3.5
3.7516961875728727,-0.09189947847638788,3.5,419.4012385555632,4.483690290453065,0.983,0.02292597947564913,0.983,0.0,0.022917651,3.5
3.752005863222802,-0.08927672605116097,3.5,420.0329217186245,4.482763818207251,0.9840000000000001,0.022925979178477607,0.984,0.0,0.022917651,3.5
3.752315498883178,-0.08664835125692281,3.5,420.67303184644254,4.481831568343344,0.985,0.0229259789046151,0.985,0.0,0.022917651,3.5
3.752625099090725,-0.08401415838692944,3.5,421.3216386846023,4.480893354493239,0.986,0.022925978592379426,0.986,0.0,0.022917651,3.5
3.7529346505865324,-0.08137338884464188,3.5,421.979181002409,4.4799483613275575,0.9870000000000001,0.02292597822626291,0.987,0.0,0.022917651,3.5
3.753244235944673,-0.07872724939980749,3.5,422.64524051800487,4.478998133546394,0.988,0.022925977855412553,0.988,0.0,0.022917651,3.5
3.753553937523677,-0.07607377107351218,3.5,423.3207594861755,4.478041029430816,0.989,0.02292597747186334,0.989,0.0,0.022917651,3.5
3.7538636809195123,-0.07341488540372888,3.5,424.0050170655431,4.477078684891216,0.99,0.02292597708777298,0.99,0.0,0.022917651,3.5
3.754173198343056,-0.07074884281278197,3.5,424.6992733275169,4.476108294818408,0.9910000000000001,0.022925976694752836,0.991,0.0,0.022917651,3.5
3.7544827217183765,-0.0680770116004294,3.5,425.4027097524457,4.475132142219143,0.992,0.02292597629977036,0.992,0.0,0.022917651,3.5
3.754792193005565,-0.06539834445664067,3.5,426.1163637103811,4.474148934113329,0.993,0.022925975912744583,0.993,0.0,0.022917651,3.5
3.7551016628959375,-0.0627135486546699,3.5,426.83971861891183,4.473159587614909,0.9940000000000001,0.02292597552824197,0.994,0.0,0.022917651,3.5
3.7554113634413744,-0.06002076740870271,3.5,427.5733589083034,4.472163185515856,0.995,0.022925975135604373,0.995,0.0,0.022917651,3.5
3.7557212149856767,-0.0573208014320582,3.5,428.31711832230104,4.471160206888291,0.996,0.022925974737644923,0.996,0.0,0.022917651,3.5
3.7560311421512056,-0.0546131269262306,3.5,429.0714845851366,4.470149811408478,0.997,0.022925974338366618,0.997,0.0,0.022917651,3.5
3.756341133200567,-0.05189813453599438,3.5,429.8363990093022,4.469132345647645,0.9980000000000001,0.02292597393781305,0.998,0.0,0.022917651,3.5
3.7566509089377647,-0.04917581564686773,3.5,430.612295005342,4.468106705052691,0.999,0.022925973542607277,0.999,0.0,0.022917651,3.5
3.756960537737287,-0.046446426626356445,3.5,431.3990869163598,4.467073415996592,1.0,0.022925973150995527,1.0,0.0,0.022917651,3.5
3.757204043559462,-0.04422100837111865,3.5,431.86977832087587,4.466235950944041,1.0010000000000001,0.0229259731384336,1.0010000000000001,0.0,0.022917651,3.5
3.757447555130579,-0.041992747065146954,3.5,432.34524228834977,4.465395661591559,1.0020000000000002,0.022925973122868596,1.002,0.0,0.022917651,3.5
3.757691067650861,-0.03976235810158776,3.5,432.82500633861247,4.46455324842357,1.0030000000000001,0.02292597310720296,1.0030000000000001,0.0,0.022917651,3.5
